"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"1906/E/08/21","E09","2021-10-11","2021-10-12 11:52","18:19"
"264/E/09/21","E05","2021-10-11","2021-10-11 07:11","1:45"
"266/E/09/21","E09","2021-10-11","2021-10-11 10:23","5:41"
"719/E/09/21","E08","2021-10-11","2021-10-11 09:00","3:18"
"801/E/09/21","E10","2021-10-11","2021-10-11 13:22","9:34"
"970/E/09/21","E06","2021-10-11","2021-10-11 08:36","2:58"
"995/E/09/21","E07","2021-10-11","2021-10-11 11:12","5:54"
"1079/E/09/21","E07","2021-10-11","2021-10-11 07:51","2:02"
"1278/E/09/21","E05","2021-10-11","2021-10-11 11:19","4:22"
"1279/E/09/21","E05","2021-10-11","2021-10-11 09:23","4:22"
"1388/E/09/21","E09","2021-10-11","2021-10-11 09:37","4:15"
"1389/E/09/21","E09","2021-10-11","2021-10-11 09:30","4:15"
"1390/E/09/21","E09","2021-10-11","2021-10-11 09:44","4:15"
"1403/E/09/21","E07","2021-10-11","2021-10-11 10:30","3:59"
"1449/E/09/21","E09","2021-10-11","2021-10-11 07:20","1:36"
"1518/E/09/21","E04","2021-10-11","2021-10-11 09:51","0:53"
"1617/E/09/21","E02","2021-10-11","2021-10-11 18:09","0:36"
"1682/E/09/21","E02","2021-10-11","2021-10-11 18:30","0:35"
"1708/E/09/21","E02","2021-10-11","2021-10-11 18:37","0:35"
"1733/E/09/21","E07","2021-10-11","2021-10-12 06:50","3:17"
"1734/E/09/21","E07","2021-10-11","2021-10-12 11:06","3:41"
"1737/E/09/21","E09","2021-10-11","2021-10-11 10:03","5:18"
"1750/E/09/21","E05","2021-10-12","2021-10-12 14:54","3:53"
"1751/E/09/21","E05","2021-10-12","2021-10-12 15:01","3:53"
"1774/E/09/21","E08","2021-10-11","2021-10-11 07:41","1:15"
"1799/E/09/21","E02","2021-10-12","2021-10-12 15:15","1:16"
"1819/E/09/21","E07","2021-10-12","2021-10-12 15:29","2:51"
"1850/E/09/21","E08","2021-10-11","2021-10-11 07:58","1:15"
